index,y_true,y_pred,prediction,loss,is_correct
,True,True,0.9999999,-0.0,True
,True,True,0.99978906,0.00021084385,True
,True,True,0.99739563,0.0026076431,True
,True,True,0.99996305,3.6836347e-05,True
,True,True,0.99815744,0.0018441386,True
,True,True,0.9999924,7.5102134e-06,True
,True,True,0.9999523,4.7565638e-05,True
,True,True,0.99889886,0.0011016235,True
,True,True,0.9992779,0.00072225183,True
,True,True,0.9999449,5.4956992e-05,True
,True,True,0.997617,0.002385718,True
,True,True,0.99426514,0.0057512484,True
,True,True,0.99981195,0.00018795111,True
,True,True,0.99995565,4.4227625e-05,True
,True,True,0.9967476,0.003257568,True
,True,True,0.9813752,0.018800287,True
,True,True,0.9999914,8.463895e-06,True
,True,True,0.9645862,0.036055956,True
,True,True,0.9819279,0.018237302,True
,True,True,0.99990344,9.6444965e-05,True
,True,True,0.97450554,0.02582495,True
,True,True,0.99994445,5.5433855e-05,True
,True,True,0.9924936,0.007534565,True
,True,True,0.99294347,0.0070814295,True
,True,True,0.999734,0.00026593168,True
,True,True,0.99992085,7.903888e-05,True
,True,True,0.9987514,0.0012492589,True
,True,True,0.9997485,0.0002513844,True
,True,True,0.9997652,0.00023469102,True
,True,True,0.98955566,0.010499148,True
,True,True,0.99764866,0.0023539928,True
,True,True,0.999998,1.9073505e-06,True
,True,True,0.99532205,0.0046888073,True
,False,False,0.498168,0.6894896,True
,True,True,0.99976915,0.0002307562,True
,True,True,0.99993515,6.473274e-05,True
,True,True,0.99960977,0.0003901885,True
,True,True,0.9999454,5.448013e-05,True
,True,True,0.97710234,0.023163762,True
,True,True,0.99968016,0.00031977045,True
,True,True,0.9999423,5.7579746e-05,True
,True,True,0.9912425,0.008795924,True
,True,True,0.86050355,0.1502374,True
,True,True,0.9999943,5.6028525e-06,True
,True,True,0.99953794,0.00046204272,True
,True,True,0.9999914,8.463895e-06,True
,True,True,0.99951625,0.00048374909,True
,True,True,0.9999821,1.7762342e-05,True
,True,True,0.9876802,0.012396201,True
,True,True,0.9999757,2.4199779e-05,True
,True,True,0.99939084,0.0006092258,True
,True,True,0.9998134,0.00018652032,True
,True,True,0.9922443,0.0077858083,True
,True,True,0.9989458,0.0010546641,True
,True,True,0.9935993,0.0064211567,True
,True,True,0.9999999,-0.0,True
,True,True,0.999567,0.00043300228,True
